"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/04/2018 15:56:11.268","27419","11160"
"03/04/2018 15:56:15.807","27358","11160"
"03/04/2018 15:56:20.993","27337","11160"
"03/04/2018 15:56:31.184","27293","11160"
"03/04/2018 15:56:35.738","27277","11160"
"03/04/2018 15:56:40.745","27252","11160"
"03/04/2018 15:56:45.747","27226","11160"
"03/04/2018 15:56:50.737","27202","11160"
"03/04/2018 15:56:55.741","27169","11160"
"03/04/2018 15:57:00.736","27134","11160"
"03/04/2018 15:57:10.565","27092","11160"
"03/04/2018 15:57:10.737","27092","11160"
"03/04/2018 15:57:15.748","27058","11160"
"03/04/2018 15:57:20.743","27012","11160"
"03/04/2018 15:57:25.749","27001","11160"
"03/04/2018 15:57:30.752","27005","11160"
"03/04/2018 15:57:35.775","26989","11160"
"03/04/2018 15:57:40.749","27019","11160"
"03/04/2018 15:57:45.741","27089","11160"
"03/04/2018 15:57:50.752","27352","11160"
"03/04/2018 15:58:00.802","26983","11160"
"03/04/2018 15:58:05.749","26968","11160"
"03/04/2018 15:58:10.739","26949","11160"
"03/04/2018 15:58:15.742","26939","11160"
"03/04/2018 15:58:20.749","26921","11160"
"03/04/2018 15:58:25.751","26901","11160"
"03/04/2018 15:58:30.744","26882","11160"
"03/04/2018 15:58:35.776","26875","11160"
"03/04/2018 15:58:46.159","26833","11160"
"03/04/2018 15:58:50.743","26822","11160"
"03/04/2018 15:58:55.746","26810","11160"
"03/04/2018 15:59:00.752","26792","11160"
"03/04/2018 15:59:05.739","26772","11160"
"03/04/2018 15:59:10.746","26758","11160"
"03/04/2018 15:59:15.748","26740","11160"
"03/04/2018 15:59:20.739","26721","11160"
"03/04/2018 15:59:31.283","26684","11160"
"03/04/2018 15:59:35.739","26637","11160"
"03/04/2018 15:59:40.746","26643","11160"
"03/04/2018 15:59:45.748","26629","11160"
"03/04/2018 15:59:50.740","26611","11160"
"03/04/2018 15:59:55.747","26595","11160"
"03/04/2018 16:00:00.739","26584","11160"
"03/04/2018 16:00:05.746","26567","11160"
"03/04/2018 16:00:16.408","26522","11160"
"03/04/2018 16:00:20.741","26507","11160"
"03/04/2018 16:00:25.744","26521","11160"
"03/04/2018 16:00:30.737","26521","11160"
"03/04/2018 16:00:35.752","26507","11160"
"03/04/2018 16:00:40.742","26489","11160"
"03/04/2018 16:00:45.745","26475","11160"
"03/04/2018 16:00:50.754","26456","11160"
"03/04/2018 16:01:01.533","26412","11160"
"03/04/2018 16:01:05.739","26397","11160"
"03/04/2018 16:01:10.748","26375","11160"
"03/04/2018 16:01:15.747","26310","11160"
"03/04/2018 16:01:20.746","26545","11160"
"03/04/2018 16:01:25.745","26538","11160"
"03/04/2018 16:01:30.741","26520","11160"
"03/04/2018 16:01:35.753","26522","11160"
"03/04/2018 16:01:40.740","26521","11160"
"03/04/2018 16:01:45.748","26551","11160"
"03/04/2018 16:01:56.158","26500","11160"
"03/04/2018 16:02:00.739","26488","11160"
"03/04/2018 16:02:05.747","26479","11160"
"03/04/2018 16:02:10.746","26466","11160"
"03/04/2018 16:02:15.746","26452","11160"
"03/04/2018 16:02:25.846","26419","11160"
"03/04/2018 16:02:30.743","26415","11160"
"03/04/2018 16:02:35.742","26405","11160"
"03/04/2018 16:02:40.742","26380","11160"
"03/04/2018 16:02:45.765","26332","11160"
"03/04/2018 16:02:55.534","26332","11160"
"03/04/2018 16:02:55.743","26332","11160"
"03/04/2018 16:03:00.750","26327","11160"
"03/04/2018 16:03:05.749","26320","11160"
"03/04/2018 16:03:10.749","26313","11160"
"03/04/2018 16:03:20.471","26297","11160"
"03/04/2018 16:03:20.752","26296","11160"
"03/04/2018 16:03:25.743","26288","11160"
"03/04/2018 16:03:30.749","26322","11160"
"03/04/2018 16:03:35.750","26255","11160"
"03/04/2018 16:03:40.754","26249","11160"
"03/04/2018 16:03:50.737","26235","11160"
"03/04/2018 16:03:55.752","26225","11160"
"03/04/2018 16:04:00.743","26216","11160"
"03/04/2018 16:04:05.743","26205","11160"
"03/04/2018 16:04:10.743","26195","11160"
"03/04/2018 16:04:21.033","26180","11160"
"03/04/2018 16:04:25.752","26174","11160"
"03/04/2018 16:04:30.752","26166","11160"
"03/04/2018 16:04:35.752","26154","11160"
"03/04/2018 16:04:40.752","26146","11160"
"03/04/2018 16:04:45.752","26139","11160"
"03/04/2018 16:04:50.751","26131","11160"
"03/04/2018 16:04:55.757","26121","11160"
"03/04/2018 16:05:06.159","26108","11160"
"03/04/2018 16:05:10.744","26061","11160"
"03/04/2018 16:05:15.744","26064","11160"
"03/04/2018 16:05:20.745","26057","11160"
"03/04/2018 16:05:25.762","26051","11160"
"03/04/2018 16:05:35.846","26032","11160"
"03/04/2018 16:05:40.744","26017","11160"
"03/04/2018 16:05:45.744","26009","11160"
"03/04/2018 16:05:50.747","26001","11160"
"03/04/2018 16:05:55.748","25987","11160"
"03/04/2018 16:06:05.534","25972","11160"
"03/04/2018 16:06:05.744","25971","11160"
"03/04/2018 16:06:10.750","25960","11160"
"03/04/2018 16:06:15.751","25949","11160"
"03/04/2018 16:06:20.738","25941","11160"
"03/04/2018 16:06:25.754","25931","11160"
"03/04/2018 16:06:35.737","25911","11160"
"03/04/2018 16:06:40.738","25901","11160"
"03/04/2018 16:06:45.739","25888","11160"
"03/04/2018 16:06:50.740","25877","11160"
"03/04/2018 16:07:01.346","25991","11160"
"03/04/2018 16:07:05.752","25984","11160"
"03/04/2018 16:07:10.747","25960","11160"
"03/04/2018 16:07:15.747","25937","11160"
"03/04/2018 16:07:26.284","25902","11160"
"03/04/2018 16:07:30.745","25898","11160"
"03/04/2018 16:07:35.753","25889","11160"
"03/04/2018 16:07:40.752","25892","11160"
"03/04/2018 16:07:45.750","25891","11160"
"03/04/2018 16:07:55.745","25874","11160"
"03/04/2018 16:08:00.751","25874","11160"
"03/04/2018 16:08:05.738","25862","11160"
"03/04/2018 16:08:10.743","25853","11160"
"03/04/2018 16:08:15.746","25844","11160"
"03/04/2018 16:08:20.737","25831","11160"
"03/04/2018 16:08:25.750","25816","11160"
"03/04/2018 16:08:30.737","25903","11160"
"03/04/2018 16:08:35.745","26297","11160"
"03/04/2018 16:08:40.737","26268","11160"
"03/04/2018 16:08:45.743","26261","11160"
"03/04/2018 16:08:50.751","26271","11160"
"03/04/2018 16:08:55.742","26284","11160"
"03/04/2018 16:09:00.745","26310","11160"
"03/04/2018 16:09:05.738","26645","11160"
"03/04/2018 16:09:15.950","26402","11160"
"03/04/2018 16:09:20.748","26401","11160"
"03/04/2018 16:09:25.750","26402","11160"
"03/04/2018 16:09:30.751","26400","11160"
"03/04/2018 16:09:35.771","26398","11160"
"03/04/2018 16:09:45.737","26396","11160"
"03/04/2018 16:09:50.738","26396","11160"
"03/04/2018 16:09:55.740","26395","11160"
"03/04/2018 16:10:00.741","26396","11160"
"03/04/2018 16:10:10.753","26392","11160"
