"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/06/2018 15:12:08.512","29269","14472"
"03/06/2018 15:12:13.716","29214","14472"
"03/06/2018 15:12:19.808","29199","14472"
"03/06/2018 15:12:28.699","29208","14472"
"03/06/2018 15:12:33.501","29200","14472"
"03/06/2018 15:12:38.487","29159","14472"
"03/06/2018 15:12:43.492","29144","14472"
"03/06/2018 15:12:48.498","29126","14472"
"03/06/2018 15:12:53.493","29094","14472"
"03/06/2018 15:12:58.499","29084","14472"
"03/06/2018 15:13:09.206","29044","14472"
"03/06/2018 15:13:13.498","29032","14472"
"03/06/2018 15:13:18.501","29015","14472"
"03/06/2018 15:13:23.492","28987","14472"
"03/06/2018 15:13:28.500","28997","14472"
"03/06/2018 15:13:33.495","28979","14472"
"03/06/2018 15:13:38.501","28958","14472"
"03/06/2018 15:13:43.494","29030","14472"
"03/06/2018 15:13:48.496","29025","14472"
"03/06/2018 15:13:59.376","28934","14472"
"03/06/2018 15:14:03.492","28923","14472"
"03/06/2018 15:14:08.499","28906","14472"
"03/06/2018 15:14:13.490","28888","14472"
"03/06/2018 15:14:18.497","28870","14472"
"03/06/2018 15:14:23.501","28853","14472"
"03/06/2018 15:14:34.112","28822","14472"
"03/06/2018 15:14:38.494","28807","14472"
"03/06/2018 15:14:43.502","28772","14472"
"03/06/2018 15:14:48.494","28760","14472"
"03/06/2018 15:14:53.501","28749","14472"
"03/06/2018 15:14:58.492","28734","14472"
"03/06/2018 15:15:03.514","28715","14472"
"03/06/2018 15:15:13.488","28696","14472"
"03/06/2018 15:15:18.495","28678","14472"
"03/06/2018 15:15:23.502","28654","14472"
"03/06/2018 15:15:28.499","28639","14472"
"03/06/2018 15:15:33.491","28608","14472"
"03/06/2018 15:15:38.498","28596","14472"
"03/06/2018 15:15:43.508","28583","14472"
"03/06/2018 15:15:53.675","28550","14472"
"03/06/2018 15:15:58.501","28531","14472"
"03/06/2018 15:16:03.492","28521","14472"
"03/06/2018 15:16:08.500","28509","14472"
"03/06/2018 15:16:13.492","28494","14472"
"03/06/2018 15:16:18.500","28482","14472"
"03/06/2018 15:16:29.300","28497","14472"
"03/06/2018 15:16:33.495","28487","14472"
"03/06/2018 15:16:38.498","28469","14472"
"03/06/2018 15:16:43.490","28450","14472"
"03/06/2018 15:16:48.499","28432","14472"
"03/06/2018 15:16:53.499","28417","14472"
"03/06/2018 15:17:03.737","28377","14472"
"03/06/2018 15:17:08.495","28354","14472"
"03/06/2018 15:17:13.489","28399","14472"
"03/06/2018 15:17:18.497","28488","14472"
"03/06/2018 15:17:23.489","28502","14472"
"03/06/2018 15:17:28.502","28496","14472"
"03/06/2018 15:17:33.503","28494","14472"
"03/06/2018 15:17:38.504","28499","14472"
"03/06/2018 15:17:43.503","28979","14472"
"03/06/2018 15:17:53.984","28395","14472"
"03/06/2018 15:17:58.497","28389","14472"
"03/06/2018 15:18:03.489","28380","14472"
"03/06/2018 15:18:08.495","28373","14472"
"03/06/2018 15:18:13.498","28366","14472"
"03/06/2018 15:18:18.489","28360","14472"
"03/06/2018 15:18:23.492","28353","14472"
"03/06/2018 15:18:28.514","28344","14472"
"03/06/2018 15:18:33.488","28339","14472"
"03/06/2018 15:18:38.494","28334","14472"
"03/06/2018 15:18:43.494","28327","14472"
"03/06/2018 15:18:48.500","28320","14472"
"03/06/2018 15:18:53.502","28312","14472"
"03/06/2018 15:18:58.495","28304","14472"
"03/06/2018 15:19:03.497","28296","14472"
"03/06/2018 15:19:08.506","28288","14472"
"03/06/2018 15:19:18.488","28272","14472"
"03/06/2018 15:19:23.491","28258","14472"
"03/06/2018 15:19:28.497","28243","14472"
"03/06/2018 15:19:33.500","28237","14472"
"03/06/2018 15:19:38.502","28230","14472"
"03/06/2018 15:19:43.495","28223","14472"
"03/06/2018 15:19:48.501","28217","14472"
"03/06/2018 15:19:53.522","28209","14472"
"03/06/2018 15:20:03.644","28189","14472"
"03/06/2018 15:20:08.493","28183","14472"
"03/06/2018 15:20:13.496","28177","14472"
"03/06/2018 15:20:18.502","28169","14472"
"03/06/2018 15:20:23.488","28151","14472"
"03/06/2018 15:20:28.494","28128","14472"
"03/06/2018 15:20:33.497","28107","14472"
"03/06/2018 15:20:38.507","28096","14472"
"03/06/2018 15:20:48.769","28077","14472"
"03/06/2018 15:20:53.490","28065","14472"
"03/06/2018 15:20:58.497","28058","14472"
"03/06/2018 15:21:03.499","28057","14472"
"03/06/2018 15:21:08.491","28040","14472"
"03/06/2018 15:21:13.493","28035","14472"
"03/06/2018 15:21:23.206","28016","14472"
"03/06/2018 15:21:28.492","28005","14472"
"03/06/2018 15:21:33.495","27992","14472"
"03/06/2018 15:21:38.501","27985","14472"
"03/06/2018 15:21:43.488","27977","14472"
"03/06/2018 15:21:48.494","27962","14472"
"03/06/2018 15:21:53.500","27954","14472"
"03/06/2018 15:22:03.488","27937","14472"
"03/06/2018 15:22:08.493","27928","14472"
"03/06/2018 15:22:13.495","27918","14472"
"03/06/2018 15:22:18.502","27909","14472"
"03/06/2018 15:22:23.489","27898","14472"
"03/06/2018 15:22:28.495","27888","14472"
"03/06/2018 15:22:33.503","27877","14472"
"03/06/2018 15:22:38.506","27870","14472"
"03/06/2018 15:22:48.706","27979","14472"
"03/06/2018 15:22:53.495","28002","14472"
"03/06/2018 15:22:58.501","27994","14472"
"03/06/2018 15:23:03.488","27972","14472"
"03/06/2018 15:23:08.494","27963","14472"
"03/06/2018 15:23:13.497","27953","14472"
"03/06/2018 15:23:18.517","27942","14472"
"03/06/2018 15:23:29.081","27905","14472"
"03/06/2018 15:23:33.490","27898","14472"
"03/06/2018 15:23:38.498","27890","14472"
"03/06/2018 15:23:43.501","27882","14472"
"03/06/2018 15:23:48.493","27868","14472"
"03/06/2018 15:23:53.496","27858","14472"
"03/06/2018 15:23:58.501","27846","14472"
"03/06/2018 15:24:03.521","27829","14472"
"03/06/2018 15:24:14.206","27804","14472"
"03/06/2018 15:24:18.494","27894","14472"
"03/06/2018 15:24:23.497","28023","14472"
"03/06/2018 15:24:28.492","28269","14472"
"03/06/2018 15:24:33.500","28240","14472"
"03/06/2018 15:24:38.498","28122","14472"
"03/06/2018 15:24:43.492","28025","14472"
"03/06/2018 15:24:48.493","28064","14472"
"03/06/2018 15:24:53.502","28056","14472"
"03/06/2018 15:24:58.494","28959","14472"
"03/06/2018 15:25:09.008","28173","14472"
"03/06/2018 15:25:13.502","28174","14472"
"03/06/2018 15:25:18.489","28181","14472"
"03/06/2018 15:25:23.495","28170","14472"
"03/06/2018 15:25:28.500","28162","14472"
"03/06/2018 15:25:33.490","28161","14472"
"03/06/2018 15:25:38.493","28165","14472"
"03/06/2018 15:25:43.498","28164","14472"
"03/06/2018 15:25:53.363","28162","14472"
"03/06/2018 15:25:53.490","28162","14472"
"03/06/2018 15:25:58.497","28172","14472"
"03/06/2018 15:26:03.502","28158","14472"
"03/06/2018 15:26:08.489","28176","14472"
"03/06/2018 15:26:13.495","28175","14472"
"03/06/2018 15:26:18.497","28174","14472"
"03/06/2018 15:26:23.520","28173","14472"
"03/06/2018 15:26:33.737","28171","14472"
"03/06/2018 15:26:38.491","28170","14472"
"03/06/2018 15:26:43.496","28167","14472"
"03/06/2018 15:26:48.499","28165","14472"
"03/06/2018 15:26:53.501","28165","14472"
"03/06/2018 15:26:58.504","28328","14472"
"03/06/2018 15:27:03.495","28153","14472"
"03/06/2018 15:27:08.500","28154","14472"
"03/06/2018 15:27:18.862","28151","14472"
"03/06/2018 15:27:23.494","28150","14472"
"03/06/2018 15:27:28.496","28148","14472"
"03/06/2018 15:27:33.503","28127","14472"
"03/06/2018 15:27:38.490","28125","14472"
"03/06/2018 15:27:43.497","28125","14472"
"03/06/2018 15:27:48.500","28124","14472"
"03/06/2018 15:27:53.516","28124","14472"
"03/06/2018 15:28:03.988","28270","14472"
"03/06/2018 15:28:08.496","28265","14472"
"03/06/2018 15:28:13.502","28264","14472"
"03/06/2018 15:28:18.489","28263","14472"
"03/06/2018 15:28:23.495","28266","14472"
"03/06/2018 15:28:28.497","28265","14472"
"03/06/2018 15:28:33.490","28263","14472"
"03/06/2018 15:28:38.514","28261","14472"
"03/06/2018 15:28:49.113","28257","14472"
"03/06/2018 15:28:53.493","28256","14472"
"03/06/2018 15:28:58.495","28533","14472"
"03/06/2018 15:29:03.501","28864","14472"
"03/06/2018 15:29:08.492","28883","14472"
"03/06/2018 15:29:13.493","28257","14472"
"03/06/2018 15:29:18.529","28155","14472"
"03/06/2018 15:29:28.769","28264","14472"
"03/06/2018 15:29:33.490","28726","14472"
"03/06/2018 15:29:38.498","28808","14472"
"03/06/2018 15:29:43.501","28716","14472"
"03/06/2018 15:29:48.493","28783","14472"
"03/06/2018 15:29:53.502","28765","14472"
"03/06/2018 15:29:58.490","28951","14472"
"03/06/2018 15:30:03.496","28841","14472"
"03/06/2018 15:30:08.502","28677","14472"
"03/06/2018 15:30:13.496","28791","14472"
