"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/04/2018 13:19:44.439","27872","11160"
"03/04/2018 13:19:49.396","27810","11160"
"03/04/2018 13:19:55.163","27791","11160"
"03/04/2018 13:20:04.784","27801","11160"
"03/04/2018 13:20:09.405","27780","11160"
"03/04/2018 13:20:14.402","27766","11160"
"03/04/2018 13:20:19.400","27739","11160"
"03/04/2018 13:20:24.406","27712","11160"
"03/04/2018 13:20:29.401","27740","11160"
"03/04/2018 13:20:34.396","27713","11160"
"03/04/2018 13:20:39.427","27684","11160"
"03/04/2018 13:20:49.315","27629","11160"
"03/04/2018 13:20:49.395","27629","11160"
"03/04/2018 13:20:54.402","27601","11160"
"03/04/2018 13:20:59.408","27557","11160"
"03/04/2018 13:21:04.409","27551","11160"
"03/04/2018 13:21:09.394","27525","11160"
"03/04/2018 13:21:14.397","27489","11160"
"03/04/2018 13:21:19.397","27460","11160"
"03/04/2018 13:21:24.395","27476","11160"
"03/04/2018 13:21:34.626","27454","11160"
"03/04/2018 13:21:39.407","27426","11160"
"03/04/2018 13:21:44.407","27400","11160"
"03/04/2018 13:21:49.408","27370","11160"
"03/04/2018 13:21:54.407","27343","11160"
"03/04/2018 13:22:04.394","27288","11160"
"03/04/2018 13:22:09.395","27250","11160"
"03/04/2018 13:22:14.396","27214","11160"
"03/04/2018 13:22:19.403","27432","11160"
"03/04/2018 13:22:24.415","27399","11160"
"03/04/2018 13:22:34.410","27332","11160"
"03/04/2018 13:22:39.394","27328","11160"
"03/04/2018 13:22:44.395","27308","11160"
"03/04/2018 13:22:49.401","27291","11160"
"03/04/2018 13:22:54.417","27261","11160"
"03/04/2018 13:22:59.394","27232","11160"
"03/04/2018 13:23:04.400","27198","11160"
"03/04/2018 13:23:09.402","27136","11160"
"03/04/2018 13:23:14.403","27128","11160"
"03/04/2018 13:23:19.416","27102","11160"
"03/04/2018 13:23:30.222","27038","11160"
"03/04/2018 13:23:34.395","27014","11160"
"03/04/2018 13:23:39.397","26986","11160"
"03/04/2018 13:23:44.398","26959","11160"
"03/04/2018 13:23:55.159","26898","11160"
"03/04/2018 13:23:59.395","26861","11160"
"03/04/2018 13:24:04.397","26843","11160"
"03/04/2018 13:24:09.398","26821","11160"
"03/04/2018 13:24:14.406","26785","11160"
"03/04/2018 13:24:24.847","26729","11160"
"03/04/2018 13:24:29.396","26709","11160"
"03/04/2018 13:24:34.397","26678","11160"
"03/04/2018 13:24:39.402","26644","11160"
"03/04/2018 13:24:48.465","26594","11160"
"03/04/2018 13:24:49.406","26570","11160"
"03/04/2018 13:24:54.397","26539","11160"
"03/04/2018 13:24:59.395","26534","11160"
"03/04/2018 13:25:04.409","26520","11160"
"03/04/2018 13:25:09.406","26524","11160"
"03/04/2018 13:25:14.399","26507","11160"
"03/04/2018 13:25:19.400","26575","11160"
"03/04/2018 13:25:24.405","26592","11160"
"03/04/2018 13:25:35.093","26618","11160"
"03/04/2018 13:25:39.408","26589","11160"
"03/04/2018 13:25:44.394","26550","11160"
"03/04/2018 13:25:49.396","26525","11160"
"03/04/2018 13:25:54.404","26500","11160"
"03/04/2018 13:26:05.191","26434","11160"
"03/04/2018 13:26:09.396","26410","11160"
"03/04/2018 13:26:14.402","26379","11160"
"03/04/2018 13:26:19.404","26349","11160"
"03/04/2018 13:26:24.405","26318","11160"
"03/04/2018 13:26:34.878","26253","11160"
"03/04/2018 13:26:39.396","26226","11160"
"03/04/2018 13:26:44.402","26197","11160"
"03/04/2018 13:26:49.399","26165","11160"
"03/04/2018 13:26:54.402","26135","11160"
"03/04/2018 13:26:59.407","26100","11160"
"03/04/2018 13:27:09.394","26143","11160"
"03/04/2018 13:27:14.397","26634","11160"
"03/04/2018 13:27:19.399","26598","11160"
"03/04/2018 13:27:24.406","26568","11160"
"03/04/2018 13:27:29.397","26535","11160"
"03/04/2018 13:27:34.422","26500","11160"
"03/04/2018 13:27:44.394","26474","11160"
"03/04/2018 13:27:49.396","26441","11160"
"03/04/2018 13:27:54.399","26413","11160"
"03/04/2018 13:27:59.406","26379","11160"
"03/04/2018 13:28:04.419","26346","11160"
"03/04/2018 13:28:14.394","26282","11160"
"03/04/2018 13:28:19.396","26257","11160"
"03/04/2018 13:28:24.398","26228","11160"
"03/04/2018 13:28:29.406","26198","11160"
"03/04/2018 13:28:34.410","26166","11160"
"03/04/2018 13:28:44.394","26103","11160"
"03/04/2018 13:28:49.396","26136","11160"
"03/04/2018 13:28:54.403","26351","11160"
"03/04/2018 13:28:59.406","26329","11160"
"03/04/2018 13:29:04.415","26294","11160"
"03/04/2018 13:29:15.191","26228","11160"
"03/04/2018 13:29:19.395","26205","11160"
"03/04/2018 13:29:24.398","26175","11160"
"03/04/2018 13:29:29.400","26143","11160"
"03/04/2018 13:29:40.128","26076","11160"
"03/04/2018 13:29:44.395","26049","11160"
"03/04/2018 13:29:49.398","26026","11160"
"03/04/2018 13:29:54.400","25995","11160"
"03/04/2018 13:30:05.066","25923","11160"
"03/04/2018 13:30:09.396","25900","11160"
"03/04/2018 13:30:14.398","25868","11160"
"03/04/2018 13:30:19.401","25837","11160"
"03/04/2018 13:30:30.003","25757","11160"
"03/04/2018 13:30:34.395","25669","11160"
"03/04/2018 13:30:39.403","25720","11160"
"03/04/2018 13:30:44.405","25689","11160"
"03/04/2018 13:30:49.398","25660","11160"
"03/04/2018 13:30:54.400","25626","11160"
"03/04/2018 13:30:59.412","25597","11160"
"03/04/2018 13:31:09.191","25536","11160"
"03/04/2018 13:31:09.397","25535","11160"
"03/04/2018 13:31:14.403","25506","11160"
"03/04/2018 13:31:19.396","25476","11160"
"03/04/2018 13:31:24.399","25444","11160"
"03/04/2018 13:31:29.407","25413","11160"
"03/04/2018 13:31:34.396","25383","11160"
"03/04/2018 13:31:44.815","25316","11160"
"03/04/2018 13:31:49.396","25285","11160"
"03/04/2018 13:31:54.398","25258","11160"
"03/04/2018 13:31:59.402","25223","11160"
"03/04/2018 13:32:04.406","25198","11160"
"03/04/2018 13:32:09.395","25160","11160"
"03/04/2018 13:32:14.399","24880","11160"
"03/04/2018 13:32:19.401","24866","11160"
"03/04/2018 13:32:24.402","25010","11160"
"03/04/2018 13:32:29.407","25021","11160"
"03/04/2018 13:32:34.403","25018","11160"
"03/04/2018 13:32:39.407","25010","11160"
"03/04/2018 13:32:44.403","25020","11160"
"03/04/2018 13:32:49.405","25022","11160"
"03/04/2018 13:32:54.408","25021","11160"
"03/04/2018 13:32:59.395","25028","11160"
"03/04/2018 13:33:04.405","25195","11160"
"03/04/2018 13:33:09.406","25199","11160"
"03/04/2018 13:33:14.400","25228","11160"
"03/04/2018 13:33:19.395","25250","11160"
"03/04/2018 13:33:29.757","25407","11160"
"03/04/2018 13:33:34.404","25376","11160"
"03/04/2018 13:33:39.406","25347","11160"
"03/04/2018 13:33:44.396","25313","11160"
"03/04/2018 13:33:49.404","25280","11160"
"03/04/2018 13:33:54.409","25249","11160"
"03/04/2018 13:33:59.398","25215","11160"
"03/04/2018 13:34:04.410","25180","11160"
"03/04/2018 13:34:14.394","25114","11160"
"03/04/2018 13:34:19.402","25083","11160"
"03/04/2018 13:34:24.404","25457","11160"
"03/04/2018 13:34:29.394","25432","11160"
"03/04/2018 13:34:34.402","25394","11160"
"03/04/2018 13:34:39.407","25363","11160"
"03/04/2018 13:34:44.409","25329","11160"
"03/04/2018 13:34:49.399","25308","11160"
"03/04/2018 13:35:00.159","25232","11160"
"03/04/2018 13:35:04.397","25196","11160"
"03/04/2018 13:35:09.403","25166","11160"
"03/04/2018 13:35:14.394","25134","11160"
"03/04/2018 13:35:19.401","25101","11160"
"03/04/2018 13:35:24.402","25432","11160"
"03/04/2018 13:35:29.394","25433","11160"
"03/04/2018 13:35:34.409","25396","11160"
"03/04/2018 13:35:44.097","25335","11160"
"03/04/2018 13:35:44.400","25333","11160"
"03/04/2018 13:35:49.406","25296","11160"
"03/04/2018 13:35:54.408","25270","11160"
"03/04/2018 13:35:59.397","25235","11160"
"03/04/2018 13:36:04.405","25204","11160"
"03/04/2018 13:36:09.394","25170","11160"
"03/04/2018 13:36:14.404","25135","11160"
"03/04/2018 13:36:23.007","25128","11160"
"03/04/2018 13:36:29.399","25443","11160"
"03/04/2018 13:36:34.406","25408","11160"
"03/04/2018 13:36:39.395","25378","11160"
"03/04/2018 13:36:44.403","25343","11160"
"03/04/2018 13:36:49.408","25311","11160"
"03/04/2018 13:36:54.400","25277","11160"
"03/04/2018 13:36:59.416","25244","11160"
"03/04/2018 13:37:09.597","25171","11160"
"03/04/2018 13:37:14.396","25133","11160"
"03/04/2018 13:37:19.403","25105","11160"
"03/04/2018 13:37:24.406","25119","11160"
"03/04/2018 13:37:29.399","25493","11160"
"03/04/2018 13:37:34.404","25496","11160"
"03/04/2018 13:37:39.410","25525","11160"
"03/04/2018 13:37:44.397","25703","11160"
"03/04/2018 13:37:49.399","25951","11160"
"03/04/2018 13:37:54.409","26062","11160"
"03/04/2018 13:37:59.405","26066","11160"
"03/04/2018 13:38:09.441","26211","11160"
"03/04/2018 13:38:14.396","26210","11160"
"03/04/2018 13:38:19.399","27715","11160"
"03/04/2018 13:38:24.407","27868","11160"
"03/04/2018 13:38:29.398","27935","11160"
