"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/04/2018 12:11:50.468","28399","11160"
"03/04/2018 12:11:55.439","28343","11160"
"03/04/2018 12:12:02.698","28321","11160"
"03/04/2018 12:12:10.472","28275","11160"
"03/04/2018 12:12:15.433","28252","11160"
"03/04/2018 12:12:20.437","28212","11160"
"03/04/2018 12:12:25.430","28169","11160"
"03/04/2018 12:12:30.430","28137","11160"
"03/04/2018 12:12:35.430","28108","11160"
"03/04/2018 12:12:40.439","28078","11160"
"03/04/2018 12:12:45.448","28065","11160"
"03/04/2018 12:12:56.191","28021","11160"
"03/04/2018 12:13:00.439","27997","11160"
"03/04/2018 12:13:05.439","27983","11160"
"03/04/2018 12:13:10.439","27958","11160"
"03/04/2018 12:13:15.438","27937","11160"
"03/04/2018 12:13:20.439","27904","11160"
"03/04/2018 12:13:25.426","27944","11160"
"03/04/2018 12:13:30.435","27940","11160"
"03/04/2018 12:13:40.327","27856","11160"
"03/04/2018 12:13:40.437","27856","11160"
"03/04/2018 12:13:45.426","27825","11160"
"03/04/2018 12:13:50.427","27797","11160"
"03/04/2018 12:13:55.444","27768","11160"
"03/04/2018 12:14:05.427","27711","11160"
"03/04/2018 12:14:10.433","27683","11160"
"03/04/2018 12:14:15.434","27654","11160"
"03/04/2018 12:14:20.436","27625","11160"
"03/04/2018 12:14:25.436","27572","11160"
"03/04/2018 12:14:30.443","27542","11160"
"03/04/2018 12:14:35.425","27520","11160"
"03/04/2018 12:14:40.432","27492","11160"
"03/04/2018 12:14:45.432","27463","11160"
"03/04/2018 12:14:50.433","27413","11160"
"03/04/2018 12:14:55.441","27403","11160"
"03/04/2018 12:15:06.222","27337","11160"
"03/04/2018 12:15:10.426","27311","11160"
"03/04/2018 12:15:15.426","27282","11160"
"03/04/2018 12:15:20.435","27250","11160"
"03/04/2018 12:15:25.447","27228","11160"
"03/04/2018 12:15:35.909","27172","11160"
"03/04/2018 12:15:40.426","27153","11160"
"03/04/2018 12:15:45.426","27121","11160"
"03/04/2018 12:15:50.427","27096","11160"
"03/04/2018 12:16:00.847","27035","11160"
"03/04/2018 12:16:05.426","27007","11160"
"03/04/2018 12:16:10.428","26973","11160"
"03/04/2018 12:16:15.429","26952","11160"
"03/04/2018 12:16:25.784","26892","11160"
"03/04/2018 12:16:30.426","26862","11160"
"03/04/2018 12:16:35.428","26838","11160"
"03/04/2018 12:16:40.434","26804","11160"
"03/04/2018 12:16:50.425","26749","11160"
"03/04/2018 12:16:55.427","26723","11160"
"03/04/2018 12:17:00.426","26847","11160"
"03/04/2018 12:17:05.436","26981","11160"
"03/04/2018 12:17:10.434","26944","11160"
"03/04/2018 12:17:15.429","26943","11160"
"03/04/2018 12:17:20.440","26941","11160"
"03/04/2018 12:17:25.436","26944","11160"
"03/04/2018 12:17:30.435","26951","11160"
"03/04/2018 12:17:35.426","26907","11160"
"03/04/2018 12:17:45.347","26727","11160"
"03/04/2018 12:17:45.433","26727","11160"
"03/04/2018 12:17:50.439","26702","11160"
"03/04/2018 12:17:55.425","26670","11160"
"03/04/2018 12:18:00.432","26637","11160"
"03/04/2018 12:18:05.439","26609","11160"
"03/04/2018 12:18:10.436","26580","11160"
"03/04/2018 12:18:20.425","26525","11160"
"03/04/2018 12:18:25.426","26494","11160"
"03/04/2018 12:18:30.427","26451","11160"
"03/04/2018 12:18:35.428","26435","11160"
"03/04/2018 12:18:45.909","26371","11160"
"03/04/2018 12:18:50.427","26349","11160"
"03/04/2018 12:18:55.429","26330","11160"
"03/04/2018 12:19:00.429","26308","11160"
"03/04/2018 12:19:10.847","26245","11160"
"03/04/2018 12:19:15.427","26216","11160"
"03/04/2018 12:19:20.429","26157","11160"
"03/04/2018 12:19:25.429","26129","11160"
"03/04/2018 12:19:35.784","26056","11160"
"03/04/2018 12:19:40.427","26035","11160"
"03/04/2018 12:19:45.429","26004","11160"
"03/04/2018 12:19:50.430","25964","11160"
"03/04/2018 12:19:55.440","25934","11160"
"03/04/2018 12:20:05.472","25873","11160"
"03/04/2018 12:20:10.427","25843","11160"
"03/04/2018 12:20:15.428","25813","11160"
"03/04/2018 12:20:20.436","25781","11160"
"03/04/2018 12:20:25.440","25751","11160"
"03/04/2018 12:20:35.159","25693","11160"
"03/04/2018 12:20:35.427","25691","11160"
"03/04/2018 12:20:40.433","25661","11160"
"03/04/2018 12:20:45.435","25627","11160"
"03/04/2018 12:20:50.437","25597","11160"
"03/04/2018 12:20:55.440","25562","11160"
"03/04/2018 12:21:00.426","25400","11160"
"03/04/2018 12:21:05.441","25477","11160"
"03/04/2018 12:21:15.535","25415","11160"
"03/04/2018 12:21:20.428","25383","11160"
"03/04/2018 12:21:25.437","25353","11160"
"03/04/2018 12:21:30.440","25321","11160"
"03/04/2018 12:21:35.427","25291","11160"
"03/04/2018 12:21:40.437","25259","11160"
"03/04/2018 12:21:45.439","25233","11160"
"03/04/2018 12:21:50.438","25206","11160"
"03/04/2018 12:22:00.425","25151","11160"
"03/04/2018 12:22:05.435","25125","11160"
"03/04/2018 12:22:10.438","25087","11160"
"03/04/2018 12:22:15.426","25056","11160"
"03/04/2018 12:22:20.429","25014","11160"
"03/04/2018 12:22:25.433","24956","11160"
"03/04/2018 12:22:30.449","24925","11160"
"03/04/2018 12:22:41.034","24825","11160"
"03/04/2018 12:22:45.430","24878","11160"
"03/04/2018 12:22:50.433","24864","11160"
"03/04/2018 12:22:55.439","24840","11160"
"03/04/2018 12:23:00.426","24805","11160"
"03/04/2018 12:23:05.430","24777","11160"
"03/04/2018 12:23:10.447","24744","11160"
"03/04/2018 12:23:20.222","24684","11160"
"03/04/2018 12:23:20.429","24683","11160"
"03/04/2018 12:23:25.435","24653","11160"
"03/04/2018 12:23:30.440","24623","11160"
"03/04/2018 12:23:35.427","24592","11160"
"03/04/2018 12:23:40.437","24564","11160"
"03/04/2018 12:23:45.427","24534","11160"
"03/04/2018 12:23:55.847","24470","11160"
"03/04/2018 12:24:00.430","24441","11160"
"03/04/2018 12:24:05.435","24409","11160"
"03/04/2018 12:24:10.424","24376","11160"
"03/04/2018 12:24:15.429","24346","11160"
"03/04/2018 12:24:20.434","24292","11160"
"03/04/2018 12:24:25.439","25497","11160"
"03/04/2018 12:24:30.429","25468","11160"
"03/04/2018 12:24:35.436","25461","11160"
"03/04/2018 12:24:40.431","25460","11160"
"03/04/2018 12:24:45.432","25461","11160"
"03/04/2018 12:24:50.433","25466","11160"
