"(PDH-CSV 4.0) (GMT Daylight Time)(-60)","\\WILLS-DESKTOP\Memory\Available MBytes"
"04/24/2018 10:48:03.382","27527"
"04/24/2018 10:48:08.371","27649"
"04/24/2018 10:48:13.381","27822"
"04/24/2018 10:48:18.380","27729"
"04/24/2018 10:48:23.377","27980"
"04/24/2018 10:48:28.405","27942"
"04/24/2018 10:48:33.380","27912"
"04/24/2018 10:48:38.384","27895"
"04/24/2018 10:48:43.375","27863"
"04/24/2018 10:48:48.384","27838"
"04/24/2018 10:48:53.377","27805"
"04/24/2018 10:49:03.371","27772"
"04/24/2018 10:49:08.381","27820"
"04/24/2018 10:49:13.374","27749"
"04/24/2018 10:49:18.383","27720"
"04/24/2018 10:49:23.378","27691"
"04/24/2018 10:49:28.377","27667"
"04/24/2018 10:49:33.392","27642"
"04/24/2018 10:49:38.371","27612"
"04/24/2018 10:49:43.382","27584"
"04/24/2018 10:49:48.376","27556"
"04/24/2018 10:49:53.374","27523"
"04/24/2018 10:49:58.383","27553"
"04/24/2018 10:50:03.377","27522"
"04/24/2018 10:50:09.346","27490"
"04/24/2018 10:50:13.377","27588"
"04/24/2018 10:50:18.377","27734"
"04/24/2018 10:50:28.304","27533"
"04/24/2018 10:50:28.376","27533"
"04/24/2018 10:50:33.384","27507"
"04/24/2018 10:50:38.385","27484"
"04/24/2018 10:50:43.384","27457"
"04/24/2018 10:50:48.403","27437"
"04/24/2018 10:50:58.287","27379"
"04/24/2018 10:50:58.376","27379"
"04/24/2018 10:51:03.380","27346"
"04/24/2018 10:51:08.385","27311"
"04/24/2018 10:51:13.379","27286"
"04/24/2018 10:51:18.386","27252"
"04/24/2018 10:51:23.394","27223"
"04/24/2018 10:51:33.934","27260"
"04/24/2018 10:51:38.372","27227"
"04/24/2018 10:51:43.382","27197"
"04/24/2018 10:51:48.377","27159"
"04/24/2018 10:51:53.371","27348"
"04/24/2018 10:51:58.376","27361"
"04/24/2018 10:52:08.964","27434"
"04/24/2018 10:52:13.381","27422"
"04/24/2018 10:52:18.375","27401"
"04/24/2018 10:52:23.385","27385"
"04/24/2018 10:52:28.378","27368"
"04/24/2018 10:52:33.380","27353"
"04/24/2018 10:52:43.402","27305"
"04/24/2018 10:52:48.380","27350"
"04/24/2018 10:52:53.377","27253"
"04/24/2018 10:52:58.372","27230"
"04/24/2018 10:53:03.382","27213"
"04/24/2018 10:53:08.376","27189"
"04/24/2018 10:53:13.388","27207"
"04/24/2018 10:53:23.778","27237"
"04/24/2018 10:53:28.382","27211"
"04/24/2018 10:53:33.373","27179"
"04/24/2018 10:53:38.383","27458"
"04/24/2018 10:53:43.374","27453"
"04/24/2018 10:53:53.656","27438"
"04/24/2018 10:53:58.376","27431"
"04/24/2018 10:54:03.371","27432"
"04/24/2018 10:54:08.380","27425"
"04/24/2018 10:54:13.374","27413"
"04/24/2018 10:54:18.405","27407"
"04/24/2018 10:54:28.496","27470"
"04/24/2018 10:54:33.381","27458"
"04/24/2018 10:54:38.373","27784"
"04/24/2018 10:54:43.384","27443"
"04/24/2018 10:54:48.384","27529"
"04/24/2018 10:54:53.373","27725"
"04/24/2018 10:54:58.379","27915"
"04/24/2018 10:55:03.384","27749"
"04/24/2018 10:55:08.534","27988"
"04/24/2018 10:55:13.382","27956"
"04/24/2018 10:55:23.555","27906"
"04/24/2018 10:55:28.384","27901"
"04/24/2018 10:55:33.373","27873"
"04/24/2018 10:55:38.373","27851"
"04/24/2018 10:55:43.376","27823"
"04/24/2018 10:55:48.377","27800"
"04/24/2018 10:55:53.397","27777"
"04/24/2018 10:56:03.943","27757"
"04/24/2018 10:56:13.679","27694"
"04/24/2018 10:56:18.383","27665"
"04/24/2018 10:56:23.371","27639"
"04/24/2018 10:56:28.372","27614"
"04/24/2018 10:56:33.375","27590"
"04/24/2018 10:56:38.382","27556"
"04/24/2018 10:56:43.386","27530"
"04/24/2018 10:56:48.381","27500"
"04/24/2018 10:56:59.245","27394"
"04/24/2018 10:57:03.378","27370"
"04/24/2018 10:57:08.382","27350"
"04/24/2018 10:57:13.382","27317"
"04/24/2018 10:57:18.386","27295"
"04/24/2018 10:57:23.371","27268"
"04/24/2018 10:57:28.375","27321"
"04/24/2018 10:57:38.496","27277"
"04/24/2018 10:57:43.371","27242"
"04/24/2018 10:57:48.373","27214"
"04/24/2018 10:57:53.373","27298"
"04/24/2018 10:57:58.378","27317"
"04/24/2018 10:58:03.381","27844"
"04/24/2018 10:58:13.511","27191"
"04/24/2018 10:58:18.370","27162"
"04/24/2018 10:58:23.375","27137"
"04/24/2018 10:58:28.379","27104"
"04/24/2018 10:58:33.392","27080"
"04/24/2018 10:58:43.371","27026"
"04/24/2018 10:58:48.383","27000"
"04/24/2018 10:58:53.371","26972"
"04/24/2018 10:58:58.383","26942"
"04/24/2018 10:59:03.378","26913"
"04/24/2018 10:59:08.381","26885"
"04/24/2018 10:59:18.371","26844"
"04/24/2018 10:59:23.382","26817"
"04/24/2018 10:59:28.383","26797"
"04/24/2018 10:59:33.378","26764"
"04/24/2018 10:59:38.394","26741"
"04/24/2018 10:59:48.527","26683"
"04/24/2018 10:59:53.377","26657"
"04/24/2018 10:59:58.381","26635"
"04/24/2018 11:00:03.377","26606"
