"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/07/2018 23:46:52.001","28179"
"03/07/2018 23:46:56.491","28121"
"03/07/2018 23:47:02.171","28111"
"03/07/2018 23:47:11.477","28064"
"03/07/2018 23:47:16.465","28049"
"03/07/2018 23:47:21.457","28016"
"03/07/2018 23:47:26.463","27994"
"03/07/2018 23:47:31.463","27976"
"03/07/2018 23:47:36.457","27947"
"03/07/2018 23:47:41.456","27923"
"03/07/2018 23:47:46.470","27906"
"03/07/2018 23:47:56.798","27865"
"03/07/2018 23:48:01.461","27852"
"03/07/2018 23:48:06.461","27870"
"03/07/2018 23:48:11.461","27852"
"03/07/2018 23:48:16.471","27833"
"03/07/2018 23:48:21.466","27899"
"03/07/2018 23:48:26.462","27886"
"03/07/2018 23:48:31.457","27849"
"03/07/2018 23:48:42.071","27759"
"03/07/2018 23:48:46.459","27737"
"03/07/2018 23:48:51.456","27723"
"03/07/2018 23:48:56.468","27704"
"03/07/2018 23:49:01.469","27685"
"03/07/2018 23:49:12.205","27654"
"03/07/2018 23:49:16.467","27635"
"03/07/2018 23:49:21.463","27615"
"03/07/2018 23:49:26.461","27603"
"03/07/2018 23:49:31.469","27590"
"03/07/2018 23:49:41.892","27553"
"03/07/2018 23:49:46.457","27535"
"03/07/2018 23:49:51.470","27523"
"03/07/2018 23:49:56.467","27508"
"03/07/2018 23:50:01.464","27492"
"03/07/2018 23:50:11.580","27435"
"03/07/2018 23:50:16.469","27420"
"03/07/2018 23:50:21.466","27405"
"03/07/2018 23:50:26.463","27386"
"03/07/2018 23:50:31.462","27367"
"03/07/2018 23:50:41.455","27331"
"03/07/2018 23:50:46.469","27313"
"03/07/2018 23:50:51.467","27295"
"03/07/2018 23:50:56.464","27279"
"03/07/2018 23:51:01.472","27248"
"03/07/2018 23:51:06.455","27351"
"03/07/2018 23:51:11.468","27336"
"03/07/2018 23:51:16.465","27320"
"03/07/2018 23:51:21.463","27297"
"03/07/2018 23:51:26.462","27277"
"03/07/2018 23:51:36.455","27247"
"03/07/2018 23:51:41.469","27227"
"03/07/2018 23:51:46.467","27206"
"03/07/2018 23:51:51.464","27219"
"03/07/2018 23:51:56.462","27379"
"03/07/2018 23:52:01.467","27371"
"03/07/2018 23:52:06.460","27369"
"03/07/2018 23:52:11.470","27367"
"03/07/2018 23:52:16.464","27358"
"03/07/2018 23:52:21.470","27834"
"03/07/2018 23:52:31.705","27279"
"03/07/2018 23:52:36.469","27274"
"03/07/2018 23:52:41.466","27260"
"03/07/2018 23:52:46.464","27253"
"03/07/2018 23:52:51.462","27245"
"03/07/2018 23:53:01.455","27227"
"03/07/2018 23:53:06.469","27223"
"03/07/2018 23:53:11.469","27217"
"03/07/2018 23:53:16.459","27203"
"03/07/2018 23:53:26.455","27187"
"03/07/2018 23:53:31.456","27174"
"03/07/2018 23:53:36.457","27167"
"03/07/2018 23:53:41.457","27158"
"03/07/2018 23:53:51.267","27140"
"03/07/2018 23:53:51.459","27140"
"03/07/2018 23:53:56.463","27131"
"03/07/2018 23:54:01.467","27138"
"03/07/2018 23:54:06.459","27102"
"03/07/2018 23:54:11.465","27096"
"03/07/2018 23:54:22.142","27080"
"03/07/2018 23:54:26.457","27071"
"03/07/2018 23:54:31.461","27054"
"03/07/2018 23:54:36.459","27046"
"03/07/2018 23:54:41.463","27038"
"03/07/2018 23:54:46.471","27029"
"03/07/2018 23:54:56.580","27015"
"03/07/2018 23:55:01.459","27008"
"03/07/2018 23:55:06.463","26999"
"03/07/2018 23:55:11.455","26982"
"03/07/2018 23:55:16.461","26973"
"03/07/2018 23:55:21.470","26962"
"03/07/2018 23:55:26.468","26951"
"03/07/2018 23:55:36.955","26929"
"03/07/2018 23:55:41.463","26950"
"03/07/2018 23:55:46.468","26899"
"03/07/2018 23:55:51.467","26893"
"03/07/2018 23:55:56.468","26886"
"03/07/2018 23:56:01.466","26876"
"03/07/2018 23:56:06.456","26867"
"03/07/2018 23:56:11.472","26851"
"03/07/2018 23:56:22.080","26834"
"03/07/2018 23:56:26.459","26826"
"03/07/2018 23:56:31.463","26817"
"03/07/2018 23:56:36.456","26804"
"03/07/2018 23:56:41.461","26794"
"03/07/2018 23:56:46.459","26785"
"03/07/2018 23:56:51.471","26771"
"03/07/2018 23:57:01.267","26754"
"03/07/2018 23:57:01.464","26753"
"03/07/2018 23:57:06.468","26744"
"03/07/2018 23:57:11.457","26733"
"03/07/2018 23:57:16.466","26714"
"03/07/2018 23:57:21.470","26967"
"03/07/2018 23:57:26.470","26965"
"03/07/2018 23:57:36.892","26947"
"03/07/2018 23:57:41.461","26926"
"03/07/2018 23:57:46.464","26915"
"03/07/2018 23:57:51.457","26904"
"03/07/2018 23:57:56.461","26891"
"03/07/2018 23:58:01.462","26882"
"03/07/2018 23:58:06.466","26867"
"03/07/2018 23:58:11.455","26858"
"03/07/2018 23:58:16.459","26847"
"03/07/2018 23:58:21.467","26833"
"03/07/2018 23:58:26.470","26822"
"03/07/2018 23:58:31.469","26811"
"03/07/2018 23:58:36.458","26798"
"03/07/2018 23:58:41.458","26786"
"03/07/2018 23:58:46.466","26772"
"03/07/2018 23:58:54.215","26863"
"03/07/2018 23:58:56.464","26959"
"03/07/2018 23:59:01.468","27234"
"03/07/2018 23:59:06.471","27202"
"03/07/2018 23:59:11.470","27193"
"03/07/2018 23:59:16.470","27205"
"03/07/2018 23:59:21.463","27213"
"03/07/2018 23:59:26.464","27241"
"03/07/2018 23:59:31.469","27589"
"03/07/2018 23:59:41.934","27203"
"03/07/2018 23:59:46.458","27204"
"03/07/2018 23:59:51.457","27204"
"03/07/2018 23:59:56.455","27208"
"03/08/2018 00:00:01.472","27207"
"03/08/2018 00:00:11.861","27196"
"03/08/2018 00:00:16.470","27195"
"03/08/2018 00:00:21.469","27194"
"03/08/2018 00:00:26.458","27192"
"03/08/2018 00:00:31.464","27228"
"03/08/2018 00:00:41.549","27182"
"03/08/2018 00:00:46.469","27181"
"03/08/2018 00:00:51.467","27180"
"03/08/2018 00:00:56.456","27178"
"03/08/2018 00:01:01.473","27177"
"03/08/2018 00:01:11.455","27170"
"03/08/2018 00:01:16.460","27168"
"03/08/2018 00:01:21.459","27167"
"03/08/2018 00:01:26.458","27166"
"03/08/2018 00:01:31.474","27114"
"03/08/2018 00:01:41.455","27165"
"03/08/2018 00:01:46.471","27164"
"03/08/2018 00:01:51.456","27163"
"03/08/2018 00:01:56.456","27161"
"03/08/2018 00:02:01.455","27160"
"03/08/2018 00:02:11.798","27157"
"03/08/2018 00:02:16.470","27156"
