"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/06/2018 15:50:44.301","28682"
"03/06/2018 15:50:49.551","28622"
"03/06/2018 15:50:55.670","28605"
"03/06/2018 15:51:05.050","28550"
"03/06/2018 15:51:09.280","28536"
"03/06/2018 15:51:14.278","28515"
"03/06/2018 15:51:19.278","28492"
"03/06/2018 15:51:24.282","28460"
"03/06/2018 15:51:29.283","28447"
"03/06/2018 15:51:34.283","28421"
"03/06/2018 15:51:39.279","28405"
"03/06/2018 15:51:48.988","28360"
"03/06/2018 15:51:49.279","28358"
"03/06/2018 15:51:54.282","28339"
"03/06/2018 15:51:59.276","28319"
"03/06/2018 15:52:04.280","28324"
"03/06/2018 15:52:09.281","28308"
"03/06/2018 15:52:14.280","28287"
"03/06/2018 15:52:19.270","28357"
"03/06/2018 15:52:24.270","28346"
"03/06/2018 15:52:34.219","28244"
"03/06/2018 15:52:34.270","28244"
"03/06/2018 15:52:39.281","28235"
"03/06/2018 15:52:44.281","28224"
"03/06/2018 15:52:49.269","28201"
"03/06/2018 15:52:54.275","28191"
"03/06/2018 15:52:59.271","28161"
"03/06/2018 15:53:04.274","28144"
"03/06/2018 15:53:09.269","28127"
"03/06/2018 15:53:14.269","28112"
"03/06/2018 15:53:19.274","28118"
"03/06/2018 15:53:24.274","28086"
"03/06/2018 15:53:29.279","28073"
"03/06/2018 15:53:34.279","28057"
"03/06/2018 15:53:39.284","28037"
"03/06/2018 15:53:49.519","28002"
"03/06/2018 15:53:54.270","27985"
"03/06/2018 15:53:59.273","27969"
"03/06/2018 15:54:04.274","27960"
"03/06/2018 15:54:09.278","27922"
"03/06/2018 15:54:14.278","27915"
"03/06/2018 15:54:19.282","27902"
"03/06/2018 15:54:24.284","27884"
"03/06/2018 15:54:34.644","27845"
"03/06/2018 15:54:39.274","27829"
"03/06/2018 15:54:44.278","27810"
"03/06/2018 15:54:49.283","27791"
"03/06/2018 15:54:54.283","27774"
"03/06/2018 15:54:59.270","27757"
"03/06/2018 15:55:04.270","27785"
"03/06/2018 15:55:09.292","27772"
"03/06/2018 15:55:19.769","27735"
"03/06/2018 15:55:24.269","27717"
"03/06/2018 15:55:29.274","27694"
"03/06/2018 15:55:34.274","27671"
"03/06/2018 15:55:39.279","27654"
"03/06/2018 15:55:44.279","27634"
"03/06/2018 15:55:49.284","27614"
"03/06/2018 15:55:54.285","27791"
"03/06/2018 15:55:59.284","27779"
"03/06/2018 15:56:04.278","27748"
"03/06/2018 15:56:09.277","27752"
"03/06/2018 15:56:14.279","27754"
"03/06/2018 15:56:19.283","27787"
"03/06/2018 15:56:29.983","27745"
"03/06/2018 15:56:34.281","27743"
"03/06/2018 15:56:39.269","27736"
"03/06/2018 15:56:44.274","27730"
"03/06/2018 15:56:49.274","27723"
"03/06/2018 15:56:54.279","27715"
"03/06/2018 15:56:59.276","27703"
"03/06/2018 15:57:09.612","27686"
"03/06/2018 15:57:14.277","27675"
"03/06/2018 15:57:19.282","27667"
"03/06/2018 15:57:24.269","27660"
"03/06/2018 15:57:29.269","27649"
"03/06/2018 15:57:34.274","27641"
"03/06/2018 15:57:39.274","27632"
"03/06/2018 15:57:44.292","27624"
"03/06/2018 15:57:54.269","27611"
"03/06/2018 15:57:59.275","27594"
"03/06/2018 15:58:04.270","27541"
"03/06/2018 15:58:09.282","27565"
"03/06/2018 15:58:14.270","27559"
"03/06/2018 15:58:19.276","27552"
"03/06/2018 15:58:24.294","27542"
"03/06/2018 15:58:35.113","27520"
"03/06/2018 15:58:39.273","27512"
"03/06/2018 15:58:44.277","27503"
"03/06/2018 15:58:49.284","27493"
"03/06/2018 15:58:54.272","27486"
"03/06/2018 15:58:59.277","27477"
"03/06/2018 15:59:04.283","27464"
"03/06/2018 15:59:09.290","27457"
"03/06/2018 15:59:19.050","27439"
"03/06/2018 15:59:19.273","27438"
"03/06/2018 15:59:24.278","27431"
"03/06/2018 15:59:29.278","27422"
"03/06/2018 15:59:34.283","27413"
"03/06/2018 15:59:39.283","27403"
"03/06/2018 15:59:44.271","27432"
"03/06/2018 15:59:49.293","27367"
"03/06/2018 15:59:59.425","27354"
"03/06/2018 16:00:04.275","27346"
"03/06/2018 16:00:09.279","27335"
"03/06/2018 16:00:14.280","27324"
"03/06/2018 16:00:19.268","27314"
"03/06/2018 16:00:24.274","27308"
"03/06/2018 16:00:29.279","27289"
"03/06/2018 16:00:34.289","27280"
"03/06/2018 16:00:44.550","27261"
"03/06/2018 16:00:49.274","27251"
"03/06/2018 16:00:54.280","27239"
"03/06/2018 16:00:59.272","27231"
"03/06/2018 16:01:04.278","27223"
"03/06/2018 16:01:09.278","27213"
"03/06/2018 16:01:14.284","27207"
"03/06/2018 16:01:19.273","27199"
"03/06/2018 16:01:29.675","27308"
"03/06/2018 16:01:34.269","27300"
"03/06/2018 16:01:39.283","27292"
"03/06/2018 16:01:44.283","27283"
"03/06/2018 16:01:49.272","27273"
"03/06/2018 16:01:54.271","27260"
"03/06/2018 16:01:59.281","27248"
"03/06/2018 16:02:10.050","27219"
"03/06/2018 16:02:14.275","27207"
"03/06/2018 16:02:19.279","27195"
"03/06/2018 16:02:24.280","27183"
"03/06/2018 16:02:29.268","27173"
"03/06/2018 16:02:34.274","27160"
"03/06/2018 16:02:39.278","27149"
"03/06/2018 16:02:44.280","27135"
"03/06/2018 16:02:53.988","27119"
"03/06/2018 16:02:54.273","27118"
"03/06/2018 16:02:59.277","27099"
"03/06/2018 16:03:04.278","27414"
"03/06/2018 16:03:09.279","27589"
"03/06/2018 16:03:14.281","27542"
"03/06/2018 16:03:19.277","27529"
"03/06/2018 16:03:24.277","27541"
"03/06/2018 16:03:29.281","27551"
"03/06/2018 16:03:34.276","27565"
"03/06/2018 16:03:39.269","28468"
"03/06/2018 16:03:49.800","27672"
"03/06/2018 16:03:54.282","27672"
"03/06/2018 16:03:59.270","27671"
"03/06/2018 16:04:04.276","27671"
"03/06/2018 16:04:09.280","27670"
"03/06/2018 16:04:14.280","27669"
"03/06/2018 16:04:19.283","27669"
"03/06/2018 16:04:28.988","27666"
"03/06/2018 16:04:29.270","27666"
"03/06/2018 16:04:34.273","27665"
"03/06/2018 16:04:39.277","27663"
"03/06/2018 16:04:44.277","27652"
"03/06/2018 16:04:49.282","27651"
"03/06/2018 16:04:54.283","27650"
"03/06/2018 16:04:59.272","27649"
"03/06/2018 16:05:09.363","27646"
"03/06/2018 16:05:14.271","27646"
"03/06/2018 16:05:19.275","27646"
"03/06/2018 16:05:24.275","27645"
"03/06/2018 16:05:29.281","27643"
"03/06/2018 16:05:34.271","27632"
"03/06/2018 16:05:39.280","27630"
"03/06/2018 16:05:49.269","27639"
"03/06/2018 16:05:54.269","27638"
"03/06/2018 16:05:59.274","27637"
"03/06/2018 16:06:04.275","27636"
"03/06/2018 16:06:09.279","27636"
"03/06/2018 16:06:14.280","27631"
"03/06/2018 16:06:19.284","27630"
"03/06/2018 16:06:30.113","27627"
"03/06/2018 16:06:34.270","27626"
"03/06/2018 16:06:39.273","27624"
"03/06/2018 16:06:44.272","27783"
"03/06/2018 16:06:49.278","27773"
"03/06/2018 16:06:54.293","27772"
"03/06/2018 16:07:04.269","27770"
"03/06/2018 16:07:09.270","27768"
"03/06/2018 16:07:14.274","27766"
"03/06/2018 16:07:19.274","27765"
"03/06/2018 16:07:24.279","27760"
"03/06/2018 16:07:29.274","27745"
"03/06/2018 16:07:34.279","27745"
"03/06/2018 16:07:39.280","27744"
"03/06/2018 16:07:44.277","28359"
"03/06/2018 16:07:49.275","28349"
