"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/08/2018 00:14:54.732","28117"
"03/08/2018 00:14:59.923","28055"
"03/08/2018 00:15:06.504","28034"
"03/08/2018 00:15:15.549","27985"
"03/08/2018 00:15:19.711","27971"
"03/08/2018 00:15:24.716","27962"
"03/08/2018 00:15:29.710","27944"
"03/08/2018 00:15:34.714","27924"
"03/08/2018 00:15:39.709","27905"
"03/08/2018 00:15:44.720","27877"
"03/08/2018 00:15:49.730","27860"
"03/08/2018 00:16:00.080","27818"
"03/08/2018 00:16:04.711","27796"
"03/08/2018 00:16:09.719","27777"
"03/08/2018 00:16:14.715","27795"
"03/08/2018 00:16:19.714","27777"
"03/08/2018 00:16:24.714","27766"
"03/08/2018 00:16:29.717","27827"
"03/08/2018 00:16:34.713","28089"
"03/08/2018 00:16:45.205","27697"
"03/08/2018 00:16:49.706","27685"
"03/08/2018 00:16:54.714","27669"
"03/08/2018 00:16:59.720","27653"
"03/08/2018 00:17:04.706","27634"
"03/08/2018 00:17:09.713","27617"
"03/08/2018 00:17:14.720","27597"
"03/08/2018 00:17:25.580","27585"
"03/08/2018 00:17:29.706","27552"
"03/08/2018 00:17:34.709","27540"
"03/08/2018 00:17:39.712","27527"
"03/08/2018 00:17:44.714","27487"
"03/08/2018 00:17:49.707","27466"
"03/08/2018 00:17:54.709","27446"
"03/08/2018 00:17:59.724","27430"
"03/08/2018 00:18:09.517","27377"
"03/08/2018 00:18:09.707","27375"
"03/08/2018 00:18:14.711","27355"
"03/08/2018 00:18:19.713","27319"
"03/08/2018 00:18:24.716","27310"
"03/08/2018 00:18:29.718","27295"
"03/08/2018 00:18:34.713","27278"
"03/08/2018 00:18:45.142","27238"
"03/08/2018 00:18:49.707","27222"
"03/08/2018 00:18:54.710","27205"
"03/08/2018 00:18:59.714","27185"
"03/08/2018 00:19:04.718","27168"
"03/08/2018 00:19:09.706","27256"
"03/08/2018 00:19:14.725","27243"
"03/08/2018 00:19:25.517","27198"
"03/08/2018 00:19:29.707","27183"
"03/08/2018 00:19:34.716","27163"
"03/08/2018 00:19:39.720","27142"
"03/08/2018 00:19:44.708","27117"
"03/08/2018 00:19:49.713","27069"
"03/08/2018 00:19:54.720","27074"
"03/08/2018 00:19:59.707","27062"
"03/08/2018 00:20:04.710","27268"
"03/08/2018 00:20:09.721","27268"
"03/08/2018 00:20:14.715","27257"
"03/08/2018 00:20:19.709","27259"
"03/08/2018 00:20:24.712","27272"
"03/08/2018 00:20:29.707","27561"
"03/08/2018 00:20:40.330","27167"
"03/08/2018 00:20:44.710","27162"
"03/08/2018 00:20:49.708","27155"
"03/08/2018 00:20:54.712","27147"
"03/08/2018 00:20:59.720","27139"
"03/08/2018 00:21:04.709","27132"
"03/08/2018 00:21:09.712","27126"
"03/08/2018 00:21:14.723","27118"
"03/08/2018 00:21:25.455","27101"
"03/08/2018 00:21:29.709","27093"
"03/08/2018 00:21:34.712","27084"
"03/08/2018 00:21:39.711","27074"
"03/08/2018 00:21:44.714","27066"
"03/08/2018 00:21:49.707","27058"
"03/08/2018 00:21:54.712","27049"
"03/08/2018 00:22:04.642","27036"
"03/08/2018 00:22:04.713","27035"
"03/08/2018 00:22:09.709","27036"
"03/08/2018 00:22:14.713","27006"
"03/08/2018 00:22:19.713","27002"
"03/08/2018 00:22:24.717","26995"
"03/08/2018 00:22:35.517","26981"
"03/08/2018 00:22:39.713","26975"
"03/08/2018 00:22:44.717","26957"
"03/08/2018 00:22:49.709","26950"
"03/08/2018 00:22:54.715","26942"
"03/08/2018 00:22:59.711","26932"
"03/08/2018 00:23:09.954","26907"
"03/08/2018 00:23:14.708","26900"
"03/08/2018 00:23:19.714","26895"
"03/08/2018 00:23:24.712","26887"
"03/08/2018 00:23:29.716","26880"
"03/08/2018 00:23:34.714","26871"
"03/08/2018 00:23:39.718","26860"
"03/08/2018 00:23:50.330","26824"
"03/08/2018 00:23:54.713","26820"
"03/08/2018 00:23:59.717","26815"
"03/08/2018 00:24:04.716","26806"
"03/08/2018 00:24:09.719","26797"
"03/08/2018 00:24:14.718","26785"
"03/08/2018 00:24:19.708","26772"
"03/08/2018 00:24:24.718","26759"
"03/08/2018 00:24:35.455","26741"
"03/08/2018 00:24:39.710","26733"
"03/08/2018 00:24:44.713","26724"
"03/08/2018 00:24:49.712","26715"
"03/08/2018 00:24:54.715","26704"
"03/08/2018 00:24:59.708","26697"
"03/08/2018 00:25:04.712","26689"
"03/08/2018 00:25:14.706","26666"
"03/08/2018 00:25:19.714","26656"
"03/08/2018 00:25:24.718","26751"
"03/08/2018 00:25:29.711","26889"
"03/08/2018 00:25:34.717","26880"
"03/08/2018 00:25:39.715","26874"
"03/08/2018 00:25:50.267","26849"
"03/08/2018 00:25:54.710","26841"
"03/08/2018 00:25:59.719","26831"
"03/08/2018 00:26:04.708","26817"
"03/08/2018 00:26:09.717","26806"
"03/08/2018 00:26:14.706","26793"
"03/08/2018 00:26:19.715","26781"
"03/08/2018 00:26:24.720","26770"
"03/08/2018 00:26:35.392","26742"
"03/08/2018 00:26:39.718","26734"
"03/08/2018 00:26:44.714","26722"
"03/08/2018 00:26:49.705","26710"
"03/08/2018 00:26:54.712","26695"
"03/08/2018 00:26:59.718","26778"
"03/08/2018 00:27:04.709","27184"
"03/08/2018 00:27:09.708","27139"
"03/08/2018 00:27:14.716","27127"
"03/08/2018 00:27:19.710","27145"
"03/08/2018 00:27:24.721","27143"
"03/08/2018 00:27:29.715","27164"
"03/08/2018 00:27:34.709","27946"
"03/08/2018 00:27:44.437","27148"
"03/08/2018 00:27:44.711","27148"
"03/08/2018 00:27:49.716","27142"
"03/08/2018 00:27:54.706","27143"
"03/08/2018 00:27:59.718","27138"
"03/08/2018 00:28:04.719","27136"
"03/08/2018 00:28:14.705","27136"
"03/08/2018 00:28:19.713","27135"
"03/08/2018 00:28:24.719","27134"
"03/08/2018 00:28:29.716","27134"
"03/08/2018 00:28:34.713","27219"
"03/08/2018 00:28:39.710","27127"
"03/08/2018 00:28:44.717","27126"
"03/08/2018 00:28:49.719","27125"
"03/08/2018 00:28:59.673","27122"
"03/08/2018 00:28:59.712","27122"
"03/08/2018 00:29:04.714","27121"
"03/08/2018 00:29:09.716","27120"
"03/08/2018 00:29:14.717","27118"
"03/08/2018 00:29:19.709","27117"
"03/08/2018 00:29:24.717","27115"
"03/08/2018 00:29:29.728","27114"
"03/08/2018 00:29:40.048","27105"
"03/08/2018 00:29:44.718","27104"
"03/08/2018 00:29:49.711","27103"
"03/08/2018 00:29:54.719","27102"
"03/08/2018 00:30:04.708","27112"
"03/08/2018 00:30:09.717","27111"
"03/08/2018 00:30:14.708","27100"
"03/08/2018 00:30:19.726","27098"
"03/08/2018 00:30:29.719","27096"
"03/08/2018 00:30:34.708","27088"
"03/08/2018 00:30:39.708","27262"
"03/08/2018 00:30:44.712","27260"
"03/08/2018 00:30:49.710","27261"
"03/08/2018 00:30:54.714","27258"
"03/08/2018 00:31:05.548","27253"
"03/08/2018 00:31:09.712","27247"
"03/08/2018 00:31:14.717","27245"
"03/08/2018 00:31:19.717","27243"
"03/08/2018 00:31:24.705","27241"
"03/08/2018 00:31:29.721","27520"
"03/08/2018 00:31:34.714","27874"
"03/08/2018 00:31:39.706","27873"
"03/08/2018 00:31:44.707","27445"
"03/08/2018 00:31:54.442","27219"
"03/08/2018 00:31:54.716","27259"
"03/08/2018 00:31:59.720","27343"
"03/08/2018 00:32:04.712","27951"
"03/08/2018 00:32:09.718","27824"
"03/08/2018 00:32:14.715","28110"
"03/08/2018 00:32:20.078","28059"
"03/08/2018 00:32:24.716","28027"
"03/08/2018 00:32:29.720","28123"
"03/08/2018 00:32:34.706","28118"
