"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes","\\WILLS-DESKTOP\Process(cmd)\Creating Process ID"
"03/04/2018 12:47:08.046","25242","11160"
"03/04/2018 12:47:13.037","25180","11160"
"03/04/2018 12:47:18.037","25034","11160"
"03/04/2018 12:47:23.035","25032","11160"
"03/04/2018 12:47:28.045","25047","11160"
"03/04/2018 12:47:33.036","25072","11160"
"03/04/2018 12:47:38.045","25127","11160"
"03/04/2018 12:47:43.041","25133","11160"
"03/04/2018 12:47:48.049","25138","11160"
"03/04/2018 12:47:53.041","25267","11160"
"03/04/2018 12:47:58.043","25312","11160"
"03/04/2018 12:48:03.038","25317","11160"
"03/04/2018 12:48:08.037","25326","11160"
"03/04/2018 12:48:17.865","25508","11160"
"03/04/2018 12:48:18.040","25499","11160"
"03/04/2018 12:48:23.045","25476","11160"
"03/04/2018 12:48:28.036","25443","11160"
"03/04/2018 12:48:33.046","25409","11160"
"03/04/2018 12:48:38.038","25384","11160"
"03/04/2018 12:48:43.040","25357","11160"
"03/04/2018 12:48:48.050","25328","11160"
"03/04/2018 12:48:58.628","25259","11160"
"03/04/2018 12:49:03.045","25229","11160"
"03/04/2018 12:49:08.036","25198","11160"
"03/04/2018 12:49:13.044","25301","11160"
"03/04/2018 12:49:18.037","25529","11160"
"03/04/2018 12:49:23.042","25491","11160"
"03/04/2018 12:49:28.045","25464","11160"
"03/04/2018 12:49:33.040","25423","11160"
"03/04/2018 12:49:43.753","25341","11160"
"03/04/2018 12:49:48.037","25312","11160"
"03/04/2018 12:49:53.045","25284","11160"
"03/04/2018 12:49:58.047","25258","11160"
"03/04/2018 12:50:03.040","25234","11160"
"03/04/2018 12:50:08.043","25201","11160"
"03/04/2018 12:50:13.049","25439","11160"
"03/04/2018 12:50:18.040","25531","11160"
"03/04/2018 12:50:28.878","25462","11160"
"03/04/2018 12:50:33.041","25430","11160"
"03/04/2018 12:50:38.044","25398","11160"
"03/04/2018 12:50:43.049","25362","11160"
"03/04/2018 12:50:48.036","25333","11160"
"03/04/2018 12:50:53.041","25301","11160"
"03/04/2018 12:50:58.044","25266","11160"
"03/04/2018 12:51:03.063","25233","11160"
"03/04/2018 12:51:12.816","25439","11160"
"03/04/2018 12:51:13.036","25438","11160"
"03/04/2018 12:51:18.043","25540","11160"
"03/04/2018 12:51:23.048","25508","11160"
"03/04/2018 12:51:28.035","25475","11160"
"03/04/2018 12:51:33.041","25440","11160"
"03/04/2018 12:51:38.046","25407","11160"
"03/04/2018 12:51:48.441","25338","11160"
"03/04/2018 12:51:53.040","25309","11160"
"03/04/2018 12:51:58.049","25274","11160"
"03/04/2018 12:52:03.039","25245","11160"
"03/04/2018 12:52:08.042","25209","11160"
"03/04/2018 12:52:13.048","25428","11160"
"03/04/2018 12:52:18.035","25554","11160"
"03/04/2018 12:52:23.042","25599","11160"
"03/04/2018 12:52:28.044","25625","11160"
"03/04/2018 12:52:33.039","25792","11160"
"03/04/2018 12:52:38.047","26037","11160"
"03/04/2018 12:52:43.040","26167","11160"
"03/04/2018 12:52:48.035","26171","11160"
"03/04/2018 12:52:56.242","26303","11160"
"03/04/2018 12:53:03.050","26316","11160"
"03/04/2018 12:53:08.046","27792","11160"
"03/04/2018 12:53:13.042","27975","11160"
