"(PDH-CSV 4.0) (GMT Standard Time)(0)","\\WILLS-DESKTOP\Memory\Available MBytes"
"03/06/2018 17:10:57.508","26975"
"03/06/2018 17:11:02.512","26969"
"03/06/2018 17:11:07.516","26953"
"03/06/2018 17:11:12.517","26943"
"03/06/2018 17:11:17.505","26925"
"03/06/2018 17:11:22.508","26912"
"03/06/2018 17:11:27.568","26898"
"03/06/2018 17:11:35.547","27000"
"03/06/2018 17:11:37.509","27103"
"03/06/2018 17:11:42.514","27356"
"03/06/2018 17:11:47.510","27339"
"03/06/2018 17:11:52.511","27220"
"03/06/2018 17:11:57.514","27251"
"03/06/2018 17:12:02.515","27286"
"03/06/2018 17:12:07.507","27341"
"03/06/2018 17:12:12.515","27416"
"03/06/2018 17:12:17.506","27452"
"03/06/2018 17:12:22.516","27489"
"03/06/2018 17:12:27.509","27534"
"03/06/2018 17:12:32.514","27573"
"03/06/2018 17:12:37.506","27613"
"03/06/2018 17:12:42.514","27650"
"03/06/2018 17:12:47.508","27689"
"03/06/2018 17:12:52.517","27731"
"03/06/2018 17:12:57.517","27772"
"03/06/2018 17:13:02.515","27810"
"03/06/2018 17:13:07.506","27849"
"03/06/2018 17:13:12.504","27884"
"03/06/2018 17:13:17.504","27928"
"03/06/2018 17:13:22.512","27971"
"03/06/2018 17:13:27.505","28013"
"03/06/2018 17:13:32.511","28059"
"03/06/2018 17:13:37.504","28104"
"03/06/2018 17:13:42.503","28303"
"03/06/2018 17:13:57.465","27429"
"03/06/2018 17:13:57.504","27430"
"03/06/2018 17:14:02.513","27429"
"03/06/2018 17:14:07.518","27428"
"03/06/2018 17:14:12.518","27425"
"03/06/2018 17:14:17.507","27424"
"03/06/2018 17:14:22.512","27423"
"03/06/2018 17:14:27.522","27422"
"03/06/2018 17:14:38.081","27421"
"03/06/2018 17:14:42.506","27421"
"03/06/2018 17:14:47.506","27421"
"03/06/2018 17:14:52.511","27420"
"03/06/2018 17:14:57.515","27419"
"03/06/2018 17:15:02.515","27418"
"03/06/2018 17:15:07.504","27418"
"03/06/2018 17:15:12.513","27417"
"03/06/2018 17:15:23.206","27415"
"03/06/2018 17:15:27.508","27414"
"03/06/2018 17:15:32.513","27412"
"03/06/2018 17:15:37.513","27411"
"03/06/2018 17:15:42.518","27562"
"03/06/2018 17:15:47.518","27403"
"03/06/2018 17:15:52.507","27402"
"03/06/2018 17:15:57.518","27401"
"03/06/2018 17:16:08.331","27402"
"03/06/2018 17:16:12.507","27401"
"03/06/2018 17:16:17.511","27389"
"03/06/2018 17:16:22.511","27390"
"03/06/2018 17:16:27.516","27389"
"03/06/2018 17:16:32.516","27388"
"03/06/2018 17:16:37.505","27387"
"03/06/2018 17:16:42.513","27327"
"03/06/2018 17:16:48.747","27518"
"03/06/2018 17:17:02.956","27518"
"03/06/2018 17:17:07.516","27516"
"03/06/2018 17:17:12.504","27515"
"03/06/2018 17:17:17.510","27513"
"03/06/2018 17:17:22.514","27512"
"03/06/2018 17:17:27.514","27512"
"03/06/2018 17:17:32.517","27509"
"03/06/2018 17:17:37.531","27507"
"03/06/2018 17:17:42.509","28076"
"03/06/2018 17:17:47.515","28067"
"03/06/2018 17:17:52.518","28097"
"03/06/2018 17:17:57.505","28187"
"03/06/2018 17:18:02.514","27976"
"03/06/2018 17:18:13.125","27495"
"03/06/2018 17:18:17.514","27525"
"03/06/2018 17:18:22.512","28186"
"03/06/2018 17:18:27.511","27931"
"03/06/2018 17:18:32.508","28292"
"03/06/2018 17:18:37.507","27922"
"03/06/2018 17:18:42.505","28148"
"03/06/2018 17:18:47.509","27837"
"03/06/2018 17:18:52.508","28186"
"03/06/2018 17:18:57.506","27996"
"03/06/2018 17:19:02.504","28071"
"03/06/2018 17:19:07.508","28183"
"03/06/2018 17:19:12.513","28025"
"03/06/2018 17:19:17.518","27899"
"03/06/2018 17:19:22.516","28265"
"03/06/2018 17:19:27.506","27866"
"03/06/2018 17:19:32.503","27948"
"03/06/2018 17:19:37.517","28158"
"03/06/2018 17:19:42.505","27912"
"03/06/2018 17:19:47.503","27838"
"03/06/2018 17:19:52.518","28100"
"03/06/2018 17:19:57.506","27934"
"03/06/2018 17:20:02.508","27935"
"03/06/2018 17:20:07.506","28101"
"03/06/2018 17:20:12.516","27936"
"03/06/2018 17:20:17.505","27917"
"03/06/2018 17:20:22.509","27894"
"03/06/2018 17:20:27.514","27926"
"03/06/2018 17:20:32.518","27984"
"03/06/2018 17:20:37.515","28066"
